Index,Time,l_side.T_wheel,((driven[1])->measure).speed_rads
483,12.762000,-0.286016762,22.5829678
484,12.786000,-0.298016608,21.0391216
485,12.808000,-0.30951646,19.5076904
486,12.836000,-0.322516292,17.7043228
487,12.870000,-0.340016067,15.156353
488,12.920000,-0.365515739,11.6739006
489,12.944000,-0.377015591,9.96035671
490,12.974000,-0.392015398,7.78884697
491,12.998000,-0.404015243,5.99407196
492,13.022000,-0.416015089,3.9900198
493,13.046000,-0.428014934,1.89835858
494,13.074000,-0.442514747,-0.530391037
495,13.101000,-0.456014574,-2.37214851
496,13.133000,-0.471514374,-4.28914881
497,13.157000,-0.483014226,-5.68303251
498,13.184000,-0.496514052,-7.27347374
499,13.210000,-0.510514498,-8.94905758
500,13.237000,-0.523515105,-10.638937
501,13.261000,-0.535515666,-12.1741734
502,13.285000,-0.54801625,-13.6788168
503,13.309000,-0.559016764,-15.3887825
504,13.335000,-0.572517395,-17.2209797
505,13.363000,-0.586518049,-19.3655663
506,13.386000,-0.598018587,-21.177578
507,13.414000,-0.612519264,-23.1760788
508,13.444000,-0.627519965,-25.3175278
509,13.468000,-0.639520526,-27.3342724
510,13.492000,-0.651021063,-29.2937317
511,13.515000,-0.663021624,-31.4215202
512,13.540000,-0.675022185,-33.2435417
513,13.563000,-0.686522722,-35.1772652
514,13.590000,-0.700023353,-37.7537651
515,13.625000,-0.717524171,-40.6876221
516,13.653000,-0.731024802,-43.3084412
517,13.689000,-0.749525666,-46.7296181
518,13.712000,-0.761526227,-47.3980637
519,13.736000,-0.773026764,-48.1536636
520,13.760000,-0.785027325,-48.1701317
521,13.783000,-0.796527863,-48.193924
522,13.807000,-0.808528423,-48.6728287
523,13.835000,-0.822529078,-48.3275299
524,13.861000,-0.835529685,-48.5030823
525,13.886000,-0.848030269,-48.5736237
526,13.913000,-0.8615309,-48.3183975
527,13.950000,-0.880031765,-48.697197
528,13.975000,-0.892532349,-48.3655319
529,13.999000,-0.904532909,-48.7704315
530,14.023000,-0.91653347,-48.3632622
531,14.046000,-0.928534031,-48.5597229
532,14.071000,-0.940534592,-48.7360916
533,14.106000,-0.958035409,-48.3655548
534,14.129000,-0.969535947,-48.8226852
535,14.174000,-0.992036998,-48.419117
536,14.197000,-0.996499836,-48.7743683
537,14.221000,-0.984499276,-48.4263954
538,14.244000,-0.972998738,-48.6068153
539,14.268000,-0.960998178,-48.6618233
540,14.291000,-0.94949764,-48.3607178
541,14.313000,-0.937997103,-48.5873222
542,14.339000,-0.925496519,-48.6995163
543,14.367000,-0.911995888,-48.4565926
544,14.394000,-0.897995234,-48.7459068
545,14.430000,-0.879994392,-48.3430748
546,14.454000,-0.867993832,-48.8421707
547,14.479000,-0.855493248,-48.4168396
548,14.503000,-0.842992663,-48.6037483
549,14.527000,-0.831492126,-48.6929321
550,14.551000,-0.819491565,-48.3953438
551,14.576000,-0.806990981,-48.6143494
552,14.603000,-0.793990374,-48.5152588
553,14.633000,-0.778489649,-48.5548477
554,14.658000,-0.765989065,-48.6581421
555,14.690000,-0.750488341,-48.4200974
556,14.713000,-0.73848778,-48.8054123
557,14.739000,-0.725487173,-48.4108582
558,14.763000,-0.713486612,-48.5601425
559,14.786000,-0.701986074,-48.6594925
560,14.809000,-0.690485537,-48.3581619
561,14.837000,-0.676484883,-48.7196579
562,14.864000,-0.662984252,-48.4455833
563,14.887000,-0.651483715,-48.543232
564,14.916000,-0.636983037,-48.6754875
565,14.941000,-0.624482453,-48.3010597
566,14.969000,-0.610481799,-48.7923355
567,14.993000,-0.597981215,-48.4251862
568,15.022000,-0.58398056,-48.5579796
569,15.046000,-0.572480023,-48.630291
570,15.068000,-0.560979486,-48.3327217
571,15.095000,-0.547478855,-48.7193642
572,15.132000,-0.529478014,-48.4672966
573,15.154000,-0.517977476,-48.5531464
574,15.184000,-0.502476752,-48.4432831
575,15.208000,-0.490976781,-48.4168472
576,15.233000,-0.478476942,-48.7704201
577,15.256000,-0.46697709,-48.3993835
578,15.284000,-0.45297727,-48.5555077
579,15.308000,-0.440477431,-48.644989
580,15.332000,-0.428977579,-48.2975998
581,15.359000,-0.414977759,-48.8177414
582,15.395000,-0.397477984,-48.3646927
583,15.422000,-0.383478165,-48.7953873
584,15.455000,-0.367478371,-48.3759537
585,15.478000,-0.355978519,-48.5895691
586,15.502000,-0.344478667,-48.7269363
587,15.524000,-0.332478821,-48.3620758
588,15.548000,-0.320978969,-48.698307
589,15.572000,-0.308979124,-48.4870682
590,15.598000,-0.295479298,-48.580162
591,15.626000,-0.281979471,-48.7249908
592,15.649000,-0.27047962,-48.4602585
593,15.678000,-0.255979806,-48.7004318
594,15.713000,-0.238480031,-48.3610764
595,15.736000,-0.22698018,-48.5940781
596,15.761000,-0.21448034,-48.6995239
597,15.784000,-0.202980489,-48.385601
598,15.807000,-0.191480637,-48.7174416
599,15.831000,-0.179480791,-48.4611206
600,15.870000,-0.159981042,-48.6789169
601,15.893000,-0.147981197,-48.6360779
602,15.920000,-0.134981364,-48.4911041
603,15.952000,-0.118981473,-48.6795883
604,15.975000,-0.10748145,-48.4079895
605,16.005000,-0.0929814205,-48.8848877
606,16.028000,-0.0809813961,-48.4574814
607,16.056000,-0.0659813657,-48.5925789
608,16.083000,-0.0534813404,-48.4029922
609,16.109000,-0.0404813141,-47.6879692
610,16.135000,-0.0274813026,-47.8093834
611,16.166000,-0.0119813215,-46.7453346
612,16.196000,0.00351868081,-46.33255
613,16.220000,0.015018682,-45.4668312
614,16.243000,0.0270186625,-44.6698952
615,16.267000,0.0385186709,-44.6277084
616,16.291000,0.0505186953,-43.676548
617,16.315000,0.0625187159,-42.2901306
618,16.338000,0.0740187392,-42.1235199
619,16.366000,0.0875187665,-41.4000549
620,16.397000,0.103518799,-40.1978378
621,16.424000,0.117518827,-39.3920441
622,16.462000,0.136018693,-37.572094
623,16.486000,0.147518545,-36.7531929
624,16.508000,0.159018397,-35.965992
625,16.531000,0.171018243,-34.6484795
626,16.555000,0.182518095,-33.4104996
627,16.578000,0.194017947,-32.4091492
628,16.606000,0.208017766,-31.0267639
629,16.635000,0.223017573,-29.2793655
630,16.659000,0.234517425,-27.967104
631,16.694000,0.2520172,-26.078949
632,16.718000,0.264017045,-24.8995018
633,16.740000,0.275516897,-23.3043022
634,16.764000,0.287016749,-21.6120815
635,16.788000,0.299016595,-20.1849537
636,16.812000,0.31101644,-18.6782875
637,16.839000,0.324516267,-16.9525013
638,16.866000,0.338016093,-15.1190424
639,16.894000,0.352015913,-13.1704435
640,16.924000,0.367515713,-10.8483162
641,16.958000,0.384015501,-8.26272964
642,16.982000,0.396015346,-6.400455
643,17.007000,0.408015192,-4.59551144
644,17.030000,0.420015037,-2.7861371
645,17.053000,0.432014883,-0.815804064
